Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1887,361.08302109643444,5.958008146573948,181.2736072951195,0.1165977504809809,0.0028918597355209585,0.032768956580230005,8.30760672758478e-05,0.09472554983705998,0.9728438946311305,0.9834063839386923,0.11946078666648163,0.03722381831449312,1205.5485943306176,4.870544282913079,0.04951555740716812,2.3362474388573565e-08,0.5055017286007961,0.3142625301604654
1888,359.9908723624937,6.455811151786159,177.3809614082269,0.12232486042254449,0.0031974707536367966,0.03550692117901651,0.002188640518048576,0.10194899005489795,0.9746392107272022,0.9423899389437087,0.12107560424652128,0.03970223847927298,1207.7715662134885,4.677100457939438,0.04867322988432846,9.898841303194524e-07,0.5054081366538149,0.3384724996882637
1889,359.3752047399598,6.257127603543645,178.8726510845894,0.11873083361278314,0.003042019162766755,0.03441406358891337,7.564458810677709e-05,0.10004929017177853,0.9724412786504878,1.0065593560660115,0.12094619965754742,0.03882673449944433,1205.0506540902409,4.805643216620356,0.04820135420156317,2.089413179500282e-08,0.5053557060223958,0.3210463617204706
1890,358.49406246963673,6.436561340806737,176.09964999906015,0.11753772874495705,0.0030669438937236558,0.035401170727334924,0.00013557198629242473,0.1001069971183562,0.9736135690880185,0.9476683156482483,0.11772301001625424,0.03844180997632031,1206.5008537616495,4.693260327391897,0.04753419867960675,4.4621159489805815e-08,0.5052815776310688,0.3150617745244047
1891,357.42484144920365,6.5550947526936065,174.68075051050363,0.12217040241979478,0.003225124119515981,0.03605287220508326,0.00011263037714014025,0.10486505490379887,0.9735566525375596,0.9784234453446267,0.12190860052058931,0.040199521844257444,1206.4316066075753,4.657194548699056,0.04673438909841681,3.265319787491771e-08,0.5051927098998238,0.3327803748347333
1892,356.75328985668114,6.287573091214835,176.01040111660828,0.11302354879485708,0.002902462845438342,0.03458188247043489,2.8639905659347485e-05,0.0959320018228745,0.9716389183891534,0.9795370551932047,0.1157553413011151,0.0370985437678882,1204.0552767568718,4.771678622360674,0.04623580373227448,7.3565979442766565e-09,0.505137311525809,0.306142284232276
1893,356.92887149775595,5.852801084290307,177.09224775755862,0.10859641118422593,0.0026599706324232624,0.03219079227287276,4.808786462171292e-05,0.08715736876625206,0.9709700872240433,0.9682971396633074,0.11313617526241102,0.034588983784525136,1203.2260207152153,4.862353279667552,0.046365464980856794,1.377047089840289e-08,0.5051517183312072,0.2981091786371385
1894,357.8258590340717,5.4133378657999485,176.5874874047435,0.11684833441321361,0.002714257074025793,0.02977341162424374,9.856123316228042e-05,0.08440159359801115,0.9724516334059814,0.9852560103089053,0.1216195549837091,0.03531849530938411,1205.0625976323865,4.875010924415229,0.04703234980558407,2.9149751683915842e-08,0.5052258166450632,0.3169458969178044
1895,358.3618554817954,5.3640745653711575,177.83291550564624,0.11143703605052767,0.0025740084158555787,0.0295026551986886,7.777634856913652e-05,0.08123764366794374,0.9725024179528224,0.943490374177651,0.11609354776692772,0.0335482567893079,1205.1237874919832,4.891482374177976,0.047434269297462195,2.3502297948606226e-08,0.5052704743663826,0.3021697640873027
1896,359.5457110857642,5.126877756243224,179.46673941598186,0.11785945164495214,0.002636807175336805,0.028197767254481875,0.00011346588051658687,0.08131814880062341,0.9726456561031103,1.0034413865185592,0.1238919461543318,0.03474610031258194,1205.3037801984117,4.957964711439949,0.04833157041962074,3.344263098387582e-08,0.505370174491069,0.31702279362777247
1897,360.4697581241652,5.137080962455411,181.31997979454079,0.11206655764620745,0.0025114263059379423,0.02825407866937806,0.00020861222444322675,0.07906307102401368,0.9724482566748117,0.9633484206072177,0.11792948367536536,0.0331681287875166,1205.0575005115907,4.991880045523938,0.049040954617753436,7.306489145665595e-08,0.5054489949575272,0.30453617761387414
1898,361.95759184092526,4.998632523581605,182.97853155743957,0.11267272978300082,0.0024763069187720118,0.02749249807894194,2.970985893460371e-05,0.07831062732482222,0.9726680082500098,0.9667589944731055,0.11902182699536892,0.03291275068572874,1205.3299496144941,5.042829186319545,0.05019967214832728,7.270746092251508e-09,0.505577741349813,0.30235619978225103
1899,363.0168084743195,5.203681925204329,182.10293899321462,0.1252712430760436,0.0028316417578301487,0.02861989209203748,0.0005327831991249214,0.0862406880946318,0.974526030885406,0.9895556625391594,0.12897770429662905,0.036731982538513785,1207.6332837078528,4.938949870503428,0.05103660852859277,1.843421205827981e-07,0.5056707342809553,0.3419113608572349
1900,363.1691387621508,5.581057551290566,182.76638575330745,0.12146661426309764,0.002883278536476438,0.030695659988051776,0.001811981185170556,0.08965360365936993,0.9742104550808696,0.978097442929896,0.12419334814125944,0.03716096952579548,1207.2417578940378,4.902799894124689,0.05115794388262319,7.541683471503205e-07,0.5056842159869588,0.33332646141760214
1901,363.01425591706106,5.773719244558723,182.93636233119506,0.1185211912555073,0.002879528721000634,0.0317553550696001,0.0018657153680350616,0.09198600739279973,0.9738331547189065,0.9671379721255579,0.12093346819651148,0.03702303476571676,1206.7737663617265,4.892349651022315,0.05103463810729973,8.523682427608673e-07,0.5056705153452558,0.3262594490577608
1902,362.98688668615324,5.7199111454928655,187.0878874982738,0.10275508735982201,0.002481113030883409,0.03145986772497603,5.3019802243012095e-05,0.08544159902341769,0.9700374372819535,0.9638766022008666,0.10867490354624758,0.03302392908399919,1202.0701355783315,5.109928771155266,0.051013984210487445,1.5127940104779182e-08,0.5056682204678311,0.28454761279323487
